%Дата;Номенклатура Наименование;Организация Наименование;Фактическое количество
31.08.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2024;Авиатопливо ТС-1;Организация2;230,326
31.01.2025;Авиатопливо ТС-1;Организация2;0,000
30.09.2025;Авиатопливо ТС-1;Организация2;0,000
31.03.2025;Авиатопливо ТС-1;Организация2;345,340
31.01.2025;Авиатопливо ТС-1;Организация2;388,460
31.03.2024;Авиатопливо ТС-1;Организация2;56,444
31.07.2025;Авиатопливо ТС-1;Организация2;238,680
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
31.12.2025;Авиатопливо ТС-1;Организация2;63,168
31.03.2024;Авиатопливо ТС-1;Организация2;63,535
31.08.2024;Авиатопливо ТС-1;Организация2;113,392
30.11.2025;Авиатопливо ТС-1;Организация2;347,575
31.07.2024;Авиатопливо ТС-1;Организация2;62,324
31.12.2024;Авиатопливо ТС-1;Организация2;232,776
31.03.2024;Авиатопливо ТС-1;Организация2;63,997
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;65,828
28.02.2025;Авиатопливо ТС-1;Организация2;345,340
31.07.2024;Авиатопливо ТС-1;Организация2;61,926
30.04.2025;Авиатопливо ТС-1;Организация2;180,132
31.05.2025;Авиатопливо ТС-1;Организация2;0,000
31.12.2025;Авиатопливо ТС-1;Организация2;231,141
30.04.2025;Авиатопливо ТС-1;Организация2;313,092
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;111,639
31.01.2025;Авиатопливо ТС-1;Организация2;0,000
31.03.2025;Авиатопливо ТС-1;Организация2;313,092
31.10.2024;Авиатопливо ТС-1;Организация2;55,182
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
28.02.2025;Авиатопливо ТС-1;Организация2;247,969
30.06.2025;Авиатопливо ТС-1;Организация2;58,368
31.12.2024;Авиатопливо ТС-1;Организация2;62,772
31.03.2025;Авиатопливо ТС-1;Организация2;194,420
30.11.2024;Авиатопливо ТС-1;Организация2;62,772
30.04.2025;Авиатопливо ТС-1;Организация2;134,489
31.05.2025;Авиатопливо ТС-1;Организация2;180,132
31.05.2025;Авиатопливо ТС-1;Организация2;62,514
31.12.2024;Авиатопливо ТС-1;Организация2;236,725
31.05.2025;Авиатопливо ТС-1;Организация2;305,140
29.02.2024;Авиатопливо ТС-1;Организация2;316,114
28.02.2025;Авиатопливо ТС-1;Организация2;194,420
31.03.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2025;Авиатопливо ТС-1;Организация2;58,368
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
31.03.2024;Авиатопливо ТС-1;Организация2;182,036
31.12.2025;Авиатопливо ТС-1;Организация2;101,766
30.04.2024;Авиатопливо ТС-1;Организация2;62,949
31.03.2024;Авиатопливо ТС-1;Организация2;219,121
31.01.2025;Авиатопливо ТС-1;Организация2;313,092
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
28.02.2025;Авиатопливо ТС-1;Организация2;313,092
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2025;Авиатопливо ТС-1;Организация2;0,000
31.07.2025;Авиатопливо ТС-1;Организация2;0,000
30.09.2024;Авиатопливо ТС-1;Организация2;63,488
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2025;Авиатопливо ТС-1;Организация2;222,900
31.05.2025;Авиатопливо ТС-1;Организация2;222,900
31.05.2024;Авиатопливо ТС-1;Организация2;63,071
31.08.2024;Авиатопливо ТС-1;Организация2;21,843
30.09.2024;Авиатопливо ТС-1;Организация2;63,487
30.09.2024;Авиатопливо ТС-1;Организация2;62,766
31.07.2024;Авиатопливо ТС-1;Организация2;174,322
30.11.2025;Авиатопливо ТС-1;Организация2;347,575
31.07.2024;Авиатопливо ТС-1;Организация2;174,119
31.12.2024;Авиатопливо ТС-1;Организация2;298,981
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2024;Авиатопливо ТС-1;Организация2;119,544
31.05.2024;Авиатопливо ТС-1;Организация2;347,671
30.04.2025;Авиатопливо ТС-1;Организация2;359,030
31.05.2025;Авиатопливо ТС-1;Организация2;87,447
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.08.2025;Авиатопливо ТС-1;Организация2;222,900
31.10.2025;Авиатопливо ТС-1;Организация2;65,828
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2025;Авиатопливо ТС-1;Организация2;243,100
30.09.2024;Авиатопливо ТС-1;Организация2;173,918
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2025;Авиатопливо ТС-1;Организация2;305,140
28.02.2025;Авиатопливо ТС-1;Организация2;388,460
31.03.2024;Авиатопливо ТС-1;Организация2;63,055
30.09.2025;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2025;Авиатопливо ТС-1;Организация2;243,100
31.10.2025;Авиатопливо ТС-1;Организация2;231,141
31.08.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.01.2025;Авиатопливо ТС-1;Организация2;345,340
30.11.2025;Авиатопливо ТС-1;Организация2;112,210
30.04.2025;Авиатопливо ТС-1;Организация2;58,368
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2025;Авиатопливо ТС-1;Организация2;222,900
